               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10991,             0.93613,            0.027339,           0.0056604,            0.066667,           0.0034263,           0.0012361,             0.11002,             0.27016,            0.026807,                 0.1,                   0,                   0
                   1,             0.10752,             0.72763,            0.027251,           0.0067114,            0.088889,           0.0041286,           0.0015193,             0.10975,             0.27308,            0.026764,            0.099099,           9.901e-05,           9.901e-05
                   2,             0.10794,              0.5711,            0.027113,           0.0066667,            0.088889,           0.0040699,           0.0014366,              0.1094,             0.27098,            0.026703,            0.098196,          0.00019604,          0.00019604
                   3,             0.10802,             0.81393,            0.027508,           0.0058333,            0.077778,           0.0035834,           0.0013412,             0.10903,             0.27034,            0.026648,            0.097291,          0.00029109,          0.00029109
                   4,             0.10791,             0.85914,            0.027227,           0.0066667,            0.088889,           0.0041523,           0.0015624,             0.10863,             0.28049,            0.026575,            0.096384,          0.00038416,          0.00038416
                   5,             0.10616,             0.94143,            0.027008,           0.0058333,            0.077778,           0.0035731,           0.0014354,             0.10821,             0.28072,            0.026508,            0.095475,          0.00047525,          0.00047525
                   6,             0.10596,             0.74453,             0.02692,               0.005,            0.066667,           0.0030627,          0.00099333,             0.10779,             0.27851,            0.026434,            0.094564,          0.00056436,          0.00056436
                   7,             0.10615,             0.81372,            0.026922,           0.0066667,            0.088889,            0.004144,           0.0015626,             0.10736,             0.27764,            0.026355,            0.093651,          0.00065149,          0.00065149
                   8,             0.10457,             0.66128,            0.026851,           0.0066667,            0.088889,             0.00414,           0.0014914,             0.10687,             0.28516,            0.026276,            0.092737,          0.00073664,          0.00073664
                   9,             0.10524,             0.74266,            0.026741,              0.0025,            0.033333,           0.0015481,          0.00071706,             0.10647,             0.29323,            0.026196,             0.09182,          0.00081981,          0.00081981
                  10,             0.10347,             0.79837,            0.026476,           0.0058333,            0.077778,           0.0035849,           0.0014237,             0.10603,             0.29515,            0.026105,            0.090901,            0.000901,            0.000901
                  11,             0.10198,             0.62431,            0.025984,           0.0058333,            0.077778,           0.0035788,           0.0015236,             0.10549,             0.29597,            0.026025,             0.08998,          0.00098021,          0.00098021
                  12,             0.10204,             0.70103,            0.026025,           0.0066667,            0.088889,           0.0040689,           0.0015311,             0.10499,             0.29668,             0.02594,            0.089057,           0.0010574,           0.0010574
                  13,             0.10639,              1.0391,             0.02608,           0.0066667,            0.088889,           0.0041503,           0.0015476,             0.10465,             0.29721,            0.025854,            0.088133,           0.0011327,           0.0011327
                  14,             0.10126,             0.67826,            0.025662,              0.0025,            0.033333,           0.0015601,          0.00075596,              0.1042,             0.29924,            0.025769,            0.087206,            0.001206,            0.001206
                  15,            0.099772,             0.74332,            0.025521,          0.00083333,            0.011111,          0.00067104,          0.00035326,             0.10375,             0.29738,            0.025677,            0.086277,           0.0012772,           0.0012772
                  16,             0.10074,             0.86992,            0.025462,              0.0025,            0.033333,           0.0015562,          0.00064051,             0.10341,              0.3047,            0.025616,            0.085347,           0.0013466,           0.0013466
                  17,             0.10115,             0.87576,            0.025328,              0.0025,            0.033333,           0.0015562,          0.00064051,             0.10341,              0.3047,            0.025616,            0.084414,           0.0014139,           0.0014139
                  18,            0.098338,             0.89959,            0.025119,              0.0025,            0.033333,           0.0015551,          0.00077478,             0.10301,             0.33325,            0.025543,            0.083479,           0.0014792,           0.0014792
                  19,             0.09579,             0.83708,            0.024765,              0.0025,            0.033333,           0.0015551,          0.00077478,             0.10301,             0.33325,            0.025543,            0.082543,           0.0015426,           0.0015426
                  20,            0.098684,             0.82648,            0.025004,              0.0025,            0.033333,           0.0016231,          0.00051021,             0.10267,             0.33346,            0.025476,            0.081604,            0.001604,            0.001604
                  21,             0.09487,             0.77357,            0.024678,              0.0025,            0.033333,           0.0016231,          0.00051021,             0.10267,             0.33346,            0.025476,            0.080663,           0.0016634,           0.0016634
                  22,            0.097602,             0.91637,             0.02453,              0.0025,            0.033333,           0.0014999,          0.00059161,             0.10233,             0.33361,            0.025415,            0.079721,           0.0017208,           0.0017208
                  23,            0.096552,             0.87754,            0.023969,              0.0025,            0.033333,           0.0014999,          0.00059161,             0.10233,             0.33361,            0.025415,            0.078776,           0.0017763,           0.0017763
                  24,            0.096877,             0.69184,            0.024067,          0.00083333,            0.011111,          0.00069578,           0.0003337,              0.1019,             0.33414,             0.02536,             0.07783,           0.0018298,           0.0018298
                  25,            0.095597,              0.7926,            0.024095,          0.00083333,            0.011111,          0.00069578,           0.0003337,              0.1019,             0.33414,             0.02536,            0.076881,           0.0018812,           0.0018812
